"codi","idProcediment","seu_codi_title_ok","seu_link_app","seu_err_msg","app_codi_ok","app_err_msg"
"CFCEC1/052","0","True","","","True",""
"CFCEC2/053","0","True","","","True",""
"CFCEC2/054","0","True","","","True",""
"CFCEC2/055","0","True","","","True",""
"CFCEC2/056","0","True","","","True",""
"CFCEC2/057","0","True","","","True",""
"CFCEC2/058","0","True","","","True",""
"CFCEC2/059","0","True","","","True",""
"CFCEC2/060","0","True","","","True",""
"CFCEC2/061","0","True","","","True",""
"CFCEC2/062","0","True","","","True",""
"CFCEC2/063","0","True","","","True",""
"CFCEC2/064","0","True","","","True",""
"CFCEC2/065","0","True","","","True",""
"CFCEC2/066","0","True","","","True",""
"CFOGA1/067","91480","False","","Message: 
","True",""
"CFOGC1/068","0","True","","","True",""
"CFOGC2/069","0","True","","","True",""
"CFOEA1/070","91505","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/8","","True",""
"CFOEA1/071","91542","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/19","","True",""
"CFOEA1/072","91595","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/9","","True",""
"CFOEA1/073","91692","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/13","","True",""
"CFOEA1/074","91777","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/14","","True",""
"CFOEA1/075","91809","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/11","","True",""
"CFOEA1/076","91731","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/10","","True",""
"CFOEA1/077","91851","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/12","","True",""
"CFOEA2/078","91275","False","","Message: 
Stacktrace:
#0 0x55a1f16f22a3 <unknown>
#1 0x55a1f14b0f77 <unknown>
#2 0x55a1f14ed80c <unknown>
#3 0x55a1f14eda71 <unknown>
#4 0x55a1f1527734 <unknown>
#5 0x55a1f150db5d <unknown>
#6 0x55a1f152547c <unknown>
#7 0x55a1f150d903 <unknown>
#8 0x55a1f14e0ece <unknown>
#9 0x55a1f14e1fde <unknown>
#10 0x55a1f174263e <unknown>
#11 0x55a1f1745b79 <unknown>
#12 0x55a1f172889e <unknown>
#13 0x55a1f1746a83 <unknown>
#14 0x55a1f171b505 <unknown>
#15 0x55a1f1767ca8 <unknown>
#16 0x55a1f1767e36 <unknown>
#17 0x55a1f1783333 <unknown>
#18 0x7f760c138609 start_thread
","True",""
"CFOEA2/079","91345","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/20","","True",""
"CFOEA2/080","91408","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/16","","True",""
"CFOEA2/081","91452","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/22","","True",""
"CFOEA2/082","91437","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/17","","True",""
"CFOEA2/083","91484","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/24","","True",""
"CFOEA2/084","91386","False","","Message: 
","True",""
"CFOEA2/085","91466","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/23","","True",""
"CFOEA2/086","91958","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/18","","True",""
"CFOEAP/087","0","True","","","True",""
"CFOEB0/088","90884","True","https://tramitssirh.conselldemallorca.net/tramits/tramit/25","","True",""
"CFOEC1/089","0","True","","","True",""
"CFOEC2/090","0","True","","","True",""
"CFOEC2/091","0","True","","","True",""
"CLC0AP/092","0","True","","","True",""
"CLC0AP/093","0","True","","","True",""
"CLC0AP/094","0","True","","","True",""
"CLC0AP/095","0","True","","","True",""
"CLC0AP/096","0","True","","","True",""
"CLC0AP/097","0","True","","","True",""
"CLC0AP/098","0","True","","","True",""
"CLC0AP/099","0","True","","","True",""
"CLC0C1/100","0","True","","","True",""
"CLC0C1/101","0","True","","","True",""
"CLC0C2/102","0","True","","","True",""
"CLC0C1/103","0","True","","","True",""
"CLC0C2/104","0","True","","","True",""
"CLC0C2/105","0","True","","","True",""
"CLC0C2/106","0","True","","","True",""
"CLC0C2/107","0","True","","","True",""
"CLC0C2/108","0","True","","","True",""
"CLC0C2/109","0","True","","","True",""
"CLC0C2/110","0","True","","","True",""
"CLC0C2/111","0","True","","","True",""
"CLC0C2/112","0","True","","","True",""
"CLC0C2/113","0","True","","","True",""
"CLC0C2/114","0","True","","","True",""
"CLC0C2/115","0","True","","","True",""
"CLC0C2/116","0","True","","","True",""
"CLC0C2/117","0","True","","","True",""
"CLC0C2/118","0","True","","","True",""
"CLC0C2/119","0","True","","","True",""
"CLC0C2/120","0","True","","","True",""
"CLC0C2/121","0","True","","","True",""
"CLC0C2/122","0","True","","","True",""
"CLC0C2/123","0","True","","","True",""
"CLC0C2/124","0","True","","","True",""
"CLC0C2/125","0","True","","","True",""
"CLC0C2/126","0","True","","","True",""
"CLC0C2/127","0","True","","","True",""
"CLC0C2/128","0","True","","","True",""
"CLC0C2/129","0","True","","","True",""
"CLC0C2/130","0","True","","","True",""
"CLC0C2/131","0","True","","","True",""
"CLO0C1/132","0","True","","","True",""
"CLO0C2/133","0","True","","","True",""
